aa_000,ag_002,ag_003,ag_004,ah_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,ay_008,az_005,az_007,ba_000,ba_002,ba_003,ba_004,ba_008,bb_000,bg_000,bh_000,bi_000,bj_000,bt_000,bu_000,bv_000,bx_000,by_000,cc_000,ce_000,ci_000,cj_000,ck_000,cn_000,cn_001,cn_002,cn_008,cn_009,cq_000,cs_002,cs_004,de_000,dg_000,dn_000,ds_000,dt_000,ee_000,ee_005
32200,0,0,1626,914042,0,0,1517556,1146888,464652,342242,0,1775024,567178,8,502754,283770,161036,109082,0,1982432,914042,31308,117500,344568,32200.52,1982432,1982432,1979076,13084.0,1927270,41540,1542279.36,0.0,383932.8,0,0,0,1844,0,1982432,16586,43866,276,0,17960,33990,6622,399510,284746
516,0,0,0,25310,728,1130,71724,51268,81592,8554,0,192,0,0,192,0,0,0,0,154230,25310,1274,64306,16600,515.55,154230,154230,4030,0.0,196,2996,34612.8,18202.56,17603.52,0,0,0,0,0,154230,0,0,66,0,1362,1818,358,192,0
10,0,0,2726,1226,930,1674,8604,7298,13280,360,0,2766,180,1350,4616,134,68,50,122,22838,1226,164,11056,2202,9.72,22838,22838,29648,24.0,5914,288,1704.96,0.0,3312.96,0,0,2768,0,0,22838,12,6,48,0,182,16,14,4366,62
1454,0,0,126,39732,0,0,98412,85244,31198,7224,0,2,37778,0,50742,10282,3456,924,0,129672,39732,1008,19206,11792,1454.64,129672,129672,129266,341.0,102806,2400,77771.52,0.0,24866.88,0,0,0,22,0,129672,616,5256,32,0,758,1072,228,26578,56234
46,0,0,2076,4576,0,0,15638,10752,23788,1738,0,11254,2394,0,7410,440,322,234,156,39468,4576,402,20308,3442,45.25,39468,39468,39892,42.0,11316,1030,6775.68,228.48,3370.56,0,0,490,0,0,39468,24,390,116,0,336,390,104,4986,190
38606,0,0,578,1178090,0,0,2167968,1741730,461144,379878,0,81394,588374,0,972764,246986,187358,188416,0,2629482,1178090,46524,203312,256456,38606.98,2629482,2629482,2637574,16114.0,2567632,104644,2099768.64,0.0,465766.08,0,0,0,5026,852,2629482,131056,154230,394,0,22436,88880,29842,492698,157218
60820,0,0,202088,2005064,0,0,3832876,2953484,1046822,825554,0,0,1505156,0,1626078,290114,214430,189960,49764,4880028,2005064,75094,454604,588412,60820.41,4880028,4880028,4887932,31980.0,4770898,194860,3694131.84,37347.84,1036056.0,0,0,2376,3976,88,4880028,3494,338038,156,0,45156,101400,19160,1116162,290024
50718,0,0,7608,1777264,0,0,3756092,3355170,637020,347468,0,1042628,327010,0,1718112,423450,373618,335876,0,4393610,1777264,47494,401716,233754,50718.2,4393610,4393610,4401362,23355.0,4128112,119106,3127641.6,0.0,997739.52,0,0,34,6216,894,4393610,108096,273662,200,0,22704,130826,25472,1029088,409410
58,0,0,3306,18070,0,0,57170,46990,12068,3024,0,17808,6982,0,53930,528,488,202,6,69344,18070,698,3298,8642,58.69,69344,69344,66838,101.0,57814,1062,8051.52,34384.32,14041.92,0,0,2064,0,0,69344,206,15644,86,0,806,412,104,50210,156
41432,0,0,326,1188312,0,0,2455798,2258362,341394,168302,0,152744,437592,0,758782,355046,232050,152178,0,2797370,1188312,24658,209714,129868,41431.53,2797370,2797370,2785732,12957.0,2594756,79484,2313579.84,0.0,279764.16,0,0,0,2594,48,2797370,25126,96166,124,0,12170,91398,15588,296166,381470
730,0,0,37718,60772,124,178,164142,145934,41088,7246,0,146726,145284,0,140208,4346,1434,770,360,205476,60772,1230,24202,16732,730.86,205476,205476,203336,442.0,169336,2026,45567.36,97668.48,23794.56,0,0,3608,56,4,205476,3148,14444,168,0,1270,1258,248,124626,6484
59708,0,0,138,1698938,0,0,3182726,2838642,538430,298236,0,677840,1852716,0,915188,402298,295132,231766,494,3721534,1698938,47926,367650,168452,59708.2,3721534,3721534,3731022,20471.0,3472676,96338,3085270.08,0.0,384679.68,0,0,0,1986,32,3721534,55666,150750,446,0,22440,138354,22908,411040,427266
80686,0,158,486782,2159506,16620,21524,4467136,4079982,546888,328748,0,1320812,2582018,0,1192878,707570,562114,373688,0,5031574,2159506,51362,297898,246858,80686.49,5031574,5031574,4990622,30274.0,4818900,157282,4413973.44,0.0,400400.64,0,0,185828,1720,10,5031574,45702,100564,888,0,27692,133030,26274,436808,623256
58968,0,30368,785968,1609442,22020,35318,3052406,2740144,417356,281338,0,1322556,1575208,2,768224,669200,428570,269050,0,3492314,1609442,35912,186282,228182,58967.89,3492314,3492314,3465586,19967.0,3380180,92166,3064327.68,0.0,312258.24,0,1838,285366,1520,54,3492314,23326,90952,294,0,19058,93724,17426,331554,384306
26,0,0,5556,4844,518,1440,22808,16064,38688,2678,0,13796,1838,0,11140,294,128,124,58,62048,4844,310,31524,6222,26.72,62048,62048,61234,42.0,13868,772,5287.68,101.76,7149.12,0,0,4304,0,0,62048,144,868,254,0,456,180,66,9120,68
12,0,268,210,2382,102,368,16212,14086,6858,118,0,6110,2986,250,4406,366,126,536,0,23202,2382,182,4926,1850,12.51,23202,23202,23424,30.0,6166,296,2562.24,400.32,2016.0,0,0,424,0,0,23202,154,394,210,0,192,38,16,3844,16
39252,0,0,55982,1078784,448,2018,1878486,1416838,624536,402224,0,660948,751106,326,899348,198828,157728,159320,0,2503890,1078784,42140,335728,286886,39252.24,2503890,2503890,2486022,14852.0,2337178,56292,2074123.2,0.0,261271.68,0,0,1852,2448,132,2503890,35708,78706,588,0,25112,82082,12636,281878,341980
216192,0,0,0,6670284,900854,1229556,12368772,12257312,2040270,718150,0,0,0,0,0,0,0,0,0,15312354,6670284,149500,1093942,937014,216192.7,15312354,15312354,1386,0.0,0,247584,10540890.24,2397936.96,1455542.4,0,0,0,0,0,15312354,0,0,462,0,86524,264406,45352,0,0
46348,0,0,1116,1365258,0,0,2917188,2464722,661946,374766,0,141132,495350,0,1355574,236862,173884,133148,0,3579956,1365258,45070,409604,248574,46348.71,3579956,3579956,3582270,21782.0,3276680,106486,2532883.2,0.0,742411.2,0,0,0,7344,386,3579956,52312,278516,172,0,25634,127666,23936,766772,314396
2052,0,0,37762,57334,104,310,126300,114322,51990,5484,0,77730,12654,0,42264,19356,12228,6912,1526,178482,57334,1330,39972,11762,2052.28,178482,178482,176040,731.0,120590,2516,100372.8,0.0,19027.2,0,0,1040,22,0,178482,3082,4406,312,0,850,1932,490,20996,10320
30276,0,0,448,854710,0,0,1833344,1618146,337764,166602,0,16148,654806,0,597554,238242,139516,93084,3818,2171580,854710,20040,182422,153920,30275.39,2171580,2171580,2170358,11120.0,1992184,54462,1764668.16,0.0,224925.12,0,0,0,2090,0,2171580,26194,87660,122,0,12178,58882,8378,237850,290962
46150,0,5278,804946,1013324,156702,268798,2350726,2160390,791888,246096,0,94256,64516,51668,557004,108884,55928,39296,9576,3300388,1013324,38564,371338,417736,46150.28,3300388,3300388,1156666,4782.0,1062528,66650,2329940.16,59643.84,581986.56,0,0,121034,3604,124,3300388,81652,64592,970,0,21468,60998,11198,292572,48818
24,0,0,7730,1398,876,1778,24134,22132,27392,1070,0,5320,5594,38,9534,142,52,36,38,52450,1398,254,23800,3568,23.1,52450,52450,53098,34.0,11154,548,4021.44,0.0,6103.68,0,0,6464,0,0,52450,22,104,92,0,350,44,18,7426,16
79534,0,0,121144,2381652,1304,2396,5469506,4811318,1634328,483204,0,627218,2283262,0,2311782,654942,453494,345918,0,7107194,2381652,63554,1309006,318084,79534.73,7107194,7107194,7094632,23461.0,5661438,191088,4880045.76,210072.96,563907.84,0,0,6942,9028,686,7107194,19204,417730,666,0,41824,142348,27670,815710,774008
14,0,0,1318,3224,310,1018,6000,2228,14750,2040,0,9020,6862,0,8288,114,200,20,36,21072,3224,138,10266,4244,14.35,21072,21072,15642,33.0,9544,370,2378.88,306.24,5953.92,0,0,1288,0,0,21072,20,96,34,0,186,44,22,7342,14
45750,0,0,11072,1993340,0,0,3405228,2547254,1677038,685332,0,1392672,1469126,0,2338484,294476,191480,141602,1450,5084104,1993340,95444,828056,841692,45749.35,5084104,5084104,5031564,21373.0,4426504,152202,3466167.36,0.0,954923.52,0,0,0,5902,124,5084104,26152,436336,650,0,60720,142568,29434,1011220,326102
41220,0,0,10090,1389490,0,0,2920050,2499590,570986,362980,0,1064914,894148,0,1520612,300812,234756,231870,0,3491490,1389490,46082,170996,398824,41219.01,3491490,3491490,3491040,18003.0,3410198,121424,2654839.68,0.0,752128.32,0,0,218,3804,296,3491490,70002,202304,298,0,20656,121542,22972,799126,236068
11974,0,7852,88582,931114,3674,5846,2167830,2043182,186036,100724,0,1617438,81682,2,1581428,129284,101268,92182,0,2358064,931114,19436,89500,95824,11973.98,2358064,2358064,2364002,4031.0,2235666,65918,984314.88,610494.72,620674.56,0,1940,29796,996,20,2358064,1804,77642,1206,0,9302,0,0,1254024,41226
40372,0,8042,316958,1395558,4222,8456,2764186,2230038,1441498,487712,0,251366,913522,0,1314324,212574,163636,141046,24026,4210088,1395558,46224,1012568,424360,40372.74,4210088,4210088,4210102,21651.0,3290510,109764,2453881.92,83373.12,750843.84,0,12,40038,4124,304,4210088,143190,218288,512,0,25458,86102,14538,869282,259764
12,0,0,2,1770,0,0,13916,10854,8514,416,0,3644,170,0,3636,158,130,88,0,22456,1770,158,6300,2124,11.22,22456,22456,22432,26.0,4914,268,1872.0,0.0,2114.88,0,0,0,0,0,22456,14,542,58,0,190,20,10,3212,46
86,0,0,6,3914,0,0,14558,10670,12544,1222,0,11080,2292,0,9200,172,98,60,184,27142,3914,278,9322,3194,86.71,27142,27142,29326,33.0,11162,358,4481.28,28.8,5427.84,0,0,0,0,0,27142,36,1060,42,0,292,78,14,7058,12
16,0,0,8,988,0,0,5020,2626,25880,592,0,5424,682,0,3874,78,116,220,112,30922,988,144,23484,2372,15.68,30922,30922,31768,25.0,5460,92,1791.36,0.0,2593.92,0,0,0,0,0,30922,12,1040,28,0,202,32,4,3742,42
28,0,0,92,4584,0,0,11778,8502,6804,1058,0,1176,9856,0,10116,228,90,74,0,18614,4584,278,2824,3962,28.53,18614,18614,24428,31.0,11860,626,4743.36,0.0,5880.96,0,0,0,0,0,18614,24,210,56,0,222,318,90,7478,0
12,0,0,1944,684,214,454,9288,7742,5694,374,0,4746,922,0,3364,76,48,86,36,15202,684,132,4058,1618,11.32,15202,15202,20058,24.0,4780,286,2010.24,0.0,1805.76,0,0,1116,0,0,15202,10,154,74,0,186,74,16,3018,72
12,0,0,12,1338,0,0,7238,5478,7416,464,0,3812,2728,0,2576,154,174,92,12,14678,1338,116,6066,1332,12.52,14678,14678,15910,24.0,3840,214,1645.44,0.0,1229.76,0,0,0,0,0,14678,26,1080,74,0,122,50,18,2322,28
4094,2612,73810,217708,38964,51174,75870,231598,236498,116758,31886,0,126496,112688,89840,165700,30140,16860,11422,614,399738,38964,3392,50126,66432,4093.2,399738,399738,333108,1137.0,347206,12348,240958.08,0.0,104258.88,0,11436,73896,36,0,399738,24086,18822,1184,0,4532,8976,1448,99982,24524
149744,0,0,224016,6900338,0,0,12249698,8821766,4000396,2948034,0,20,3275230,278,4933032,981080,799600,695376,8746,16255822,6900338,283778,1594556,2391652,149744.85,16255822,16255822,16211370,123464.0,15256958,500262,12612971.52,0.0,2624376.0,0,0,0,55706,2732,16255822,1098032,749360,6436,0,194016,298688,45180,2776744,64600
50808,0,21830,1893578,206838,25534,37338,3147924,2919496,1005040,216664,0,1825632,2898278,0,1151458,271362,338546,191538,194082,4178704,206838,26888,764522,238822,50807.13,4178704,4178704,4171010,17761.0,3036376,80526,2532311.04,310483.2,189687.36,0,0,628580,1158,50,4178704,241620,92908,402,0,29110,79798,14402,518292,293598
1460,0,0,164,40336,0,0,93586,83640,27046,5720,0,1174,83290,0,46898,11876,4392,1260,0,120672,40336,1066,18696,8298,1459.28,120672,120672,122636,346.0,99830,2630,75332.16,0.0,23196.48,0,0,0,12,0,120672,200,2374,54,0,602,2280,718,25890,8416
28,0,0,0,2660,2816,4666,9496,8376,15210,1282,0,0,0,0,0,0,0,0,0,27578,2660,226,11044,4130,27.34,27578,27578,296,0.0,0,524,3744.96,0.0,6590.4,0,0,0,0,0,27578,0,0,74,0,344,170,36,0,0
170,0,0,80,9818,0,0,20024,17186,4612,1294,0,1370,18020,0,10312,1384,386,182,0,24654,9818,340,1726,2872,170.83,24654,24654,28666,69.0,20042,844,13639.68,24.0,4943.04,0,0,0,8,0,24654,76,1310,30,0,200,350,98,6652,28
60620,0,0,105984,1854850,500,1724,3680664,3134390,696272,452120,0,114974,1121922,0,1079022,511414,427424,328298,2728,4378222,1854850,51798,314392,375770,60620.24,4378222,4378222,4371354,25453.0,4195194,121064,3666175.68,0.0,525410.88,0,0,2070,4484,136,4378222,136318,204686,388,0,29040,124972,17792,552076,431310
59366,0,0,2254,1682908,0,0,3341338,2959658,502238,302356,0,38440,749612,2,1157576,420774,363610,315868,0,3844472,1682908,43208,267592,232860,59366.47,3844472,3844472,3858260,18764.0,3596588,31374,3099529.92,0.0,492642.24,0,0,0,17880,2294,3844472,4276,154850,84,0,22904,24010,4458,524342,318128
51758,0,0,51882,1454560,0,0,2937900,2506854,652508,343774,0,0,1698370,0,1096292,294530,221692,181066,6954,3591138,1454560,44254,404918,246024,51757.52,3591138,3591138,3575678,21456.0,3288834,81148,2920831.68,0.0,365381.76,0,0,9002,4204,144,3591138,53574,122454,374,0,25104,125756,18868,387350,487820
3190,0,0,150,77260,0,0,170360,160590,15112,7302,0,0,161892,0,67672,17592,4106,424,0,185492,77260,1330,7088,7988,3189.23,185492,185492,189436,582.0,178234,3268,160681.92,0.0,17425.92,0,0,0,36,0,185492,690,2508,56,0,658,1692,364,18408,115788
62398,0,0,18786,2203050,0,0,4106746,3262956,1499866,771640,0,28476,4762180,0,2041076,341164,242822,177618,1010,5607180,2203050,82006,875176,621110,62397.81,5607180,5607180,5607528,32894.0,4945648,134418,3725172.48,317176.32,900326.4,0,0,0,11270,1224,5607180,248972,400960,894,0,60072,46196,10158,1265918,762406
4,0,0,14,2518,0,0,13918,12574,3082,382,0,6432,4946,0,4384,226,512,248,0,17016,2518,160,1788,1286,3.36,17016,17016,21916,18.0,6488,310,3000.96,0.0,2278.08,0,0,0,0,0,17016,48,304,44,0,106,30,20,3606,4
41686,0,0,486,1185468,0,0,2159244,1952630,337724,152816,0,513412,495456,0,800302,237110,173440,133194,0,2497650,1185468,28770,171898,164744,41685.56,2497650,2497650,2500340,15129.0,2359198,54356,2098005.12,0.0,259372.8,0,0,0,1786,0,2497650,58184,120416,156,0,14632,68294,11596,279198,263508
30060,0,0,610,936608,0,0,1766206,1424972,428228,271896,0,212432,626754,0,659014,235742,167436,114564,0,2195208,936608,30860,162092,263142,30059.74,2195208,2195208,2190110,12312.0,2064280,77530,1797114.24,0.0,263811.84,0,0,0,5028,268,2195208,74698,116672,810,0,17036,49838,14398,283532,432136
10,0,0,2674,1598,558,1060,14726,11990,225608,1176,0,6090,3594,10,12164,62,64,54,22,240958,1598,220,221782,3778,9.04,240958,240958,255952,38.0,13622,296,2071.68,0.0,10131.84,0,0,1946,0,0,240958,20,12,92,0,344,30,8,11782,22
80996,0,0,182,2355178,0,0,4800546,4043610,899154,643070,0,324726,1032000,0,1780434,501880,421524,353820,0,5700794,2355178,71494,442406,452816,80996.08,5700794,5700794,5698110,39241.0,5451384,165430,4711098.24,0.0,735876.48,0,0,0,11448,1554,5700794,2400,319508,508,0,41422,173448,26054,767890,615712
50270,0,0,7466,1350906,0,0,2685292,2397494,420978,243918,0,52590,740848,0,752614,327354,274206,231432,914,3106710,1350906,27976,224816,193344,50270.23,3106710,3106710,3114106,20091.0,2936792,62556,2689559.04,0.0,245559.36,0,0,0,2344,88,3106710,30616,90434,188,0,15212,58256,8008,263244,491924
6046,0,0,234,154934,0,0,356800,328518,42340,20172,0,112772,366904,78,148682,46080,19106,4886,0,399232,154934,3424,21176,20956,6045.41,399232,399232,407636,1501.0,379434,8684,331972.8,0.0,48321.6,0,0,0,330,0,399232,15228,16198,92,0,1804,5192,1112,49538,92160
376,0,0,76,14166,0,0,28918,23638,12604,2654,0,1204,29940,0,21396,2618,402,134,0,41546,14166,524,6700,5874,376.96,41546,41546,46944,92.0,34098,1222,24634.56,0.0,8176.32,0,0,0,0,0,41546,36,940,42,0,340,808,206,10130,10072
66898,0,0,2890,2297826,0,0,4033308,3471584,1207946,463602,0,651344,962308,4,1675338,436220,278442,196954,87030,5242100,2297826,74888,745444,457538,66897.84,5242100,5242100,5237752,36219.0,4643420,176196,3895306.56,0.0,743888.64,0,0,0,7258,526,5242100,25026,326520,262,0,40396,140290,31252,777748,933788
290,0,0,22138,15754,832,1210,32442,25470,12822,2342,0,34538,30366,0,19672,2684,1824,1930,50,46172,15754,682,5072,7696,290.68,46172,46172,44460,112.0,35318,1256,20870.4,0.0,13176.96,0,0,8208,0,0,46172,32,442,134,0,602,766,154,14602,1382
24,0,918,6380,3160,2356,13522,23098,21960,26046,638,0,8478,5522,2048,10134,200,126,80,246,51552,3160,254,22728,3294,24.05,51552,51552,53556,48.0,12594,486,3956.16,0.0,6627.84,0,8,7000,0,0,51552,26,8,94,0,296,204,28,8966,10
41130,0,0,2676,1176506,0,0,2651838,2348692,425714,243702,0,430464,321576,8,1058414,209634,186888,180718,0,3078232,1176506,24640,176656,246588,41129.05,3078232,3078232,3063612,18684.0,2850624,71264,2369131.2,30315.84,448492.8,0,0,0,5190,262,3078232,30610,156512,354,0,16124,61692,11402,502496,285334
19216,0,0,28914,574834,1636,3330,1184778,1041210,186362,120688,0,223226,510656,0,422456,138106,122526,118172,0,1372996,574834,16516,95726,89664,19215.83,1372996,1372996,1374628,8143.0,1308048,42344,1137648.96,0.0,168376.32,0,0,4570,986,32,1372996,23266,58584,98,0,8512,42008,7442,180380,178024
83748,0,0,44264,2301278,0,0,5056336,4541542,666210,413784,0,954532,1446644,0,1891668,726306,522452,326394,18,5723576,2301278,50964,315846,348164,83748.29,5723576,5723576,5665254,37034.0,5488998,154954,4689751.68,0.0,795184.32,0,0,2098,5656,202,5723576,43800,183212,366,0,29192,128136,36626,848308,1658694
13636,0,180862,1195088,659040,113172,179966,1961692,1912122,362126,133028,26,1513958,1171036,0,1346514,148046,113990,60692,36346,2437276,659040,12678,139700,221526,13636.52,2437276,2437276,2439374,7894.0,2273648,31150,765469.44,708383.04,796914.24,0,20342,679750,34,0,2437276,453272,946332,1542,0,8630,20106,5344,1516856,88100
23036,0,0,4404,1330112,0,0,2663898,1878682,1390058,593634,0,1772,213136,0,1136638,433350,231496,122256,0,4055642,1330112,51206,860838,522326,23036.99,4055642,4055642,4050196,16027.0,3080228,108154,2783505.6,56030.4,230002.56,0,0,0,19312,672,4055642,55148,271730,1116,0,41498,46642,5700,314480,32820
99796,0,0,267190,3222876,6838,13876,6217546,4653622,1843004,1247160,0,14468,4099798,2,2956298,755734,503720,386864,0,8071480,3222876,143238,893496,941996,99796.62,8071480,8071480,8011074,34723.0,7568316,161638,6682971.84,0.0,874655.04,0,0,40872,27286,2638,8071480,139236,258592,86,0,94658,126908,18906,948038,229670
42128,0,0,8228,1214836,0,0,2387430,2151614,313122,198142,0,343930,1007964,0,1182366,354392,234828,130184,0,2700946,1214836,31770,175656,135410,42128.89,2700946,2700946,2719956,11209.0,2634484,63472,2388746.88,0.0,243955.2,0,0,0,2546,88,2700946,8382,74620,250,0,15040,72826,10332,266544,546430
53576,0,0,790,1495418,0,0,3139884,2689470,550596,396168,0,436740,3453142,0,1143286,367944,267924,241542,0,3690982,1495418,43598,288152,260604,53575.07,3690982,3690982,3687100,25323.0,3595706,113622,3179921.28,0.0,413667.84,0,0,0,4316,558,3690982,63470,119458,134,0,24900,80778,14754,428894,640878
